Site,Occ,catchment,conductivity,dams,dom.substrate,prop.org.subst,prop.large.subst,prop.sm.subst,TDS,WBType,subm,emerg,float,open,subm.complex,subm.simple,subm.grasslike,emerg.persist,emerg.cattail,emerg.broad,canopy,elevation,ALNINC,BIDBEC,BRASCH,CALLSP,CARESP,CEPOCC,CERASP,DULARU,ELATRI,ELEACI,ELEROB,ELODSP,ERIOSP,EQUISP,GRAAUR,GRASS,ISOESP,JUNCSP,JUNMIL,ILEVER,LEMNSP,LUDPAL,LYSTER,MOSS1,MOSS2,MYRTEN,MYRISP,NAJASP,NASOFF,NUPVAR,NYMCOR,NYMODO,PERSSP,PONCOR,POTAMP,POTEPI,POTGEM,POTILL,POTNAT,POTOAK,POTPER,POTROB,SAGFIL,SAGLAT,SCHSUB,SCICYP,SPARSP,TYPHSP,UTRINT,UTRISP,VACCSP,VALAME,ZANPAL
ANDROS,0,3b,110.8,0,Silt,0.4,0.05,0.55,78.4,StreamRiver,0,0.4,0,0.6,0,0,0,0,0,1,0,32.64411672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
BARKER,1,1a,97.8,1,Mud,1,0,0,69.4,LakePond,0.85,0.1,0.05,0,0.1,0.01,0.89,0.9,0,0.1,35.6097561,149.9100037,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
BEARPD-01,0,1b,63.5,1,Mud,0.9,0,0.1,45.7,LakePond,0.7,0.1,0.1,0.1,0.1,0,0.9,0,0,1,0,114.9837437,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
BEARPD-02,0,1b,54.1,1,Sand,0.35,0.05,0.6,38.5,LakePond,0.1,0.2,0.05,0.65,0,0.85,0.15,0,0,1,43.58333333,114.8199997,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
BOOMBR,0,1a,242,0,Clay,0.1,0.6,0.3,173,StreamRiver,0.01,0,0,0.99,0,0.5,0.5,0,0,0,49.8125,17.37114727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRADPD-01,0,1a,35,0,Mud,1,0,0,25,LakePond,0.4,0.3,0.2,0.1,0.05,0.05,0.9,0,0,1,44.66666667,155.0206248,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
BRADPD-02,0,1a,24,0,Mud,1,0,0,17.5,LakePond,0.8,0.01,0.19,0,0.49,0.01,0.5,0.2,0,0.8,73.66666667,155.0516968,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
BROBRK,0,1a,NA,0,Detritus,0.9,0,0.1,NA,StreamRiver,0.1,0.3,0,0.6,0.5,0,0.5,0.6,0,0.4,60.58333333,79.81586583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
BUCKBR,1,1a,38.4,0,Mud,1,0,0,27.3,StreamRiver,0.8,0.1,0.05,0.05,0.8,0,0.2,0,0,1,22,108.5593783,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
BUFFBR,0,1a,74.6,1,Mud,0.9,0.1,0,53,StreamRiver,0.3,0.3,0.01,0.39,0.2,0.05,0.75,0.9,0,0.1,16.33333333,126.0950445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
